#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2014/02/28 17:13
#
# ****** CUSTOMIZED FOR NOx-Ox-Hydrocarbon-Aerosol SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
MBO      MBO tracer                     1.200E-02  5     1067 1.000E+00 atoms C/cm2/s
GLYC     GLYC tracer                    6.000E-02  1     1068 1.000E+00 molec/cm2/s
HAC      HAC tracer                     7.400E-02  1     1069 1.000E+00 molec/cm2/s
ACRPAN   ACRPAN tracer                  1.330E-01  1     1070 1.000E+00 molec/cm2/s
ENPAN    ENPAN tracer                   1.820E-01  1     1071 1.000E+00 molec/cm2/s
GLPAN    GLPAN tracer                   1.370E-01  1     1072 1.000E+00 molec/cm2/s
GPAN     GPAN tracer                    1.350E-01  1     1073 1.000E+00 molec/cm2/s
MPAN     MPAN tracer                    1.320E-01  1     1074 1.000E+00 molec/cm2/s
NIPAN    NIPAN tracer                   2.240E-01  1     1075 1.000E+00 molec/cm2/s
O3       Pure O3 tracer                 4.800E-02  1     1076 1.000E+00 molec/cm2/s
#==============================================================================
# GEOS-CHEM tracers [molec/cm2]
#==============================================================================
NOx      NOx tracer                     1.400E-02  1     2001 1.000E+00 molec/cm2
Ox       Ox tracer                      4.800E-02  1     2002 1.000E+00 molec/cm2
PAN      PAN tracer                     1.210E-01  1     2003 1.000E+00 molec/cm2
CO       CO tracer                      2.800E-02  1     2004 1.000E+00 molec/cm2
ALK4     ALK4 tracer                    1.200E-02  4     2005 1.000E+00 atoms C/cm2
ISOP     ISOP tracer                    1.200E-02  5     2006 1.000E+00 atoms C/cm2
HNO3     HNO3 tracer                    6.300E-02  1     2007 1.000E+00 molec/cm2
H2O2     H2O2 tracer                    3.400E-02  1     2008 1.000E+00 molec/cm2
ACET     ACET tracer                    1.200E-02  3     2009 1.000E+00 atoms C/cm2
MEK      MEK tracer                     1.200E-02  4     2010 1.000E+00 atoms C/cm2
ALD2     ALD2 tracer                    1.200E-02  2     2011 1.000E+00 atoms C/cm2
RCHO     RCHO tracer                    5.800E-02  1     2012 1.000E+00 molec/cm2
MVK      MVK tracer                     7.000E-02  1     2013 1.000E+00 molec/cm2
